SSID,HPHM,HPZL,JGSJ,CDBH
HK-107,落P07623,2,2019/1/1 15:04:40,1
HK-107,落P99327,2,2019/1/1 15:04:46,3
HK-92,落PV789V,2,2019/1/1 15:03:25,9
HK-107,落P10569,2,2019/1/1 15:03:25,3
HK-107,落B9Z090,2,2019/1/1 15:03:23,3
HK-92,落PK0386,2,2019/1/1 15:03:29,10
HK-93,落PR2822,2,2019/1/1 15:03:53,3
HK-92,落PG3771,2,2019/1/1 15:04:25,7
HK-107,落PX2233,2,2019/1/1 15:04:38,1
HK-92,落B9Z090,2,2019/1/1 15:02:53,7
HK-93,落P80394,2,2019/1/1 15:02:54,12
HK-107,落P80705,2,2019/1/1 15:03:53,3
HK-92,釦FK38J5,2,2019/1/1 15:04:07,6
HK-93,落PW6675,2,2019/1/1 15:03:53,4
HK-107,堊BZ0061,2,2019/1/1 15:03:59,3
HK-93,落P01888,2,2019/1/1 15:04:10,8
HK-92,落PL723P,2,2019/1/1 15:04:20,2
HK-92,落PC3685,2,2019/1/1 15:04:17,2
HK-92,落PC6379,2,2019/1/1 15:04:11,6
HK-93,落P80571,2,2019/1/1 15:04:26,1
HK-107,落BJL950,2,2019/1/1 15:02:54,4
HK-93,落PU7016,2,2019/1/1 15:03:02,12
HK-92,落PA4025,1,2019/1/1 15:03:06,9
HK-107,落P80458,2,2019/1/1 15:03:14,2
HK-93,落P80417,2,2019/1/1 15:03:23,4
HK-93,落P98230,2,2019/1/1 15:03:25,10
HK-93,釦E93HD7,2,2019/1/1 15:03:16,10
HK-107,落PA4025,1,2019/1/1 15:03:39,3
HK-107,落P96873,2,2019/1/1 15:03:54,4
HK-107,落P80417,2,2019/1/1 15:04:24,2
HK-107,落P8M830,2,2019/1/1 15:04:21,1
HK-92,落P98765,2,2019/1/1 15:03:23,9
HK-107,落P01888,2,2019/1/1 15:03:21,3
HK-107,落PP7317,2,2019/1/1 15:03:18,3
HK-93,落P80803,2,2019/1/1 15:03:31,7
HK-92,落P59865,2,2019/1/1 15:03:49,6
HK-93,釦D2LY05,2,2019/1/1 15:03:53,8
HK-92,落PH9999,2,2019/1/1 15:03:59,6
HK-93,落P80865,2,2019/1/1 15:03:59,3
HK-93,落P07623,2,2019/1/1 15:03:56,2
HK-92,落BSZ808,2,2019/1/1 15:04:24,2
HK-92,落PJC095,2,2019/1/1 15:04:21,3
HK-92,落PR7086,2,2019/1/1 15:04:21,8
HK-107,落PY0711,2,2019/1/1 15:04:28,1
HK-107,落P2H238,2,2019/1/1 15:04:46,1
HK-107,落PZ1852,2,2019/1/1 15:04:45,4
HK-107,落PJ0262,2,2019/1/1 15:04:38,3
HK-92,落PM8573,2,2019/1/1 15:02:50,1
HK-92,落PP7317,2,2019/1/1 15:02:46,7
HK-93,落PW8034,2,2019/1/1 15:02:53,6
HK-93,落PB5372,2,2019/1/1 15:02:50,12
HK-107,落P9H083,2,2019/1/1 15:02:57,4
HK-92,落P10569,2,2019/1/1 15:02:58,7
HK-93,落P87090,2,2019/1/1 15:02:57,6
HK-93,落PU6000,2,2019/1/1 15:03:00,12
HK-93,落P74875,2,2019/1/1 15:03:03,11
HK-93,落P25667,2,2019/1/1 15:02:55,11
HK-92,落PA5072,2,2019/1/1 15:03:52,6
HK-93,落PG1228,2,2019/1/1 15:03:53,9
HK-93,落P80283,2,2019/1/1 15:03:45,11
HK-93,落P9G862,2,2019/1/1 15:03:45,10
HK-92,落PC8602,2,2019/1/1 15:04:13,1
HK-92,KP60198,2,2019/1/1 15:04:22,2
HK-92,落PD0165,2,2019/1/1 15:04:19,3
HK-92,落PC0150,2,2019/1/1 15:04:23,7
HK-92,落PZ1852,2,2019/1/1 15:04:18,8
HK-93,落P80434,2,2019/1/1 15:04:22,1
HK-107,落P80711,2,2019/1/1 15:03:16,3
HK-107,落PTG808,2,2019/1/1 15:03:14,3
HK-107,落PV9652,2,2019/1/1 15:03:08,3
HK-92,落PD2227,2,2019/1/1 15:03:34,9
HK-92,落PN0696,2,2019/1/1 15:04:26,7
HK-92,落P1K882,2,2019/1/1 15:04:23,8
HK-92,落P3D020,2,2019/1/1 15:04:29,2
HK-92,落PU0198,2,2019/1/1 15:04:27,8
HK-92,落PY9W18,2,2019/1/1 15:04:31,10
HK-93,落PA7085,2,2019/1/1 15:04:29,1
HK-93,概兎,2,2019/1/1 15:04:42,2
HK-92,落P80543,2,2019/1/1 15:02:57,3
HK-92,落P10297,2,2019/1/1 15:02:56,2
HK-93,落P80924,2,2019/1/1 15:02:50,12
HK-93,落PK8628,2,2019/1/1 15:03:01,11
HK-93,落PE1015,2,2019/1/1 15:03:22,10
HK-107,概兎,2,2019/1/1 15:03:20,4
HK-92,落P80191,2,2019/1/1 15:03:29,9
HK-92,落P96873,2,2019/1/1 15:03:27,9
HK-92,落P80578,2,2019/1/1 15:03:46,6
HK-92,落PJ0262,2,2019/1/1 15:03:36,8
HK-93,落P2H238,2,2019/1/1 15:03:59,2
HK-93,落PCJ286,2,2019/1/1 15:03:57,3
HK-93,落PV9652,2,2019/1/1 15:03:58,8
HK-92,落PXB238,2,2019/1/1 15:03:53,7
HK-93,落PGA005,2,2019/1/1 15:04:06,2
HK-93,落P62516,2,2019/1/1 15:04:06,8
HK-107,落P5F527,2,2019/1/1 15:04:13,1
HK-93,落PXP216,2,2019/1/1 15:04:23,3
HK-93,落PA4025,1,2019/1/1 15:04:35,7
HK-107,落P80803,2,2019/1/1 15:02:52,4
HK-107,落PC8602,2,2019/1/1 15:03:04,1
HK-107,落PE2550,2,2019/1/1 15:03:06,4
HK-107,落PG1228,2,2019/1/1 15:03:04,3
HK-93,落PB8081,2,2019/1/1 15:03:06,5
HK-92,寃FQ967N,2,2019/1/1 15:03:51,10
HK-93,落PSS861,2,2019/1/1 15:03:46,3
HK-93,落P24167,2,2019/1/1 15:03:48,8
HK-107,落PA4080,1,2019/1/1 15:03:59,2
HK-107,落P5G180,2,2019/1/1 15:04:03,3
HK-107,落P98765,2,2019/1/1 15:03:56,3
HK-107,落P80191,2,2019/1/1 15:03:56,4
HK-92,落P87076,2,2019/1/1 15:04:29,7
HK-93,落PTG808,2,2019/1/1 15:04:29,7
HK-107,釦FM71X9,2,2019/1/1 15:03:12,3
HK-92,落PRY629,2,2019/1/1 15:03:19,9
HK-93,落PA6750,2,2019/1/1 15:03:28,10
HK-93,殺C2QT97,2,2019/1/1 15:03:33,10
HK-92,落P80106,2,2019/1/1 15:04:15,8
HK-107,落PSS861,2,2019/1/1 15:04:32,1
HK-107,落PXB238,2,2019/1/1 15:04:44,3
HK-107,落PA6536,2,2019/1/1 15:04:40,3
HK-93,落P1E710,2,2019/1/1 15:02:59,11
HK-93,落P80407,2,2019/1/1 15:02:57,11
HK-92,落PA5795,1,2019/1/1 15:03:58,10
HK-92,落PL108M,2,2019/1/1 15:04:01,6
HK-93,落PU0903,2,2019/1/1 15:03:56,8
HK-107,落PL1980,2,2019/1/1 15:04:15,1
HK-92,落P01888,2,2019/1/1 15:02:51,7
HK-92,落PTG808,2,2019/1/1 15:02:47,8
HK-92,落AX182P,2,2019/1/1 15:03:16,9
HK-92,落P80523,2,2019/1/1 15:03:13,9
HK-93,落P80290,2,2019/1/1 15:03:04,12
HK-93,落PY0711,2,2019/1/1 15:03:46,2
HK-93,落PHH765,2,2019/1/1 15:03:51,9
HK-107,落AX182P,2,2019/1/1 15:03:50,3
HK-93,落PWK040,2,2019/1/1 15:04:33,1
HK-93,落PM2861,2,2019/1/1 15:04:32,1
HK-93,落P8012E,2,2019/1/1 15:03:06,9
HK-93,落PZ989G,2,2019/1/1 15:02:57,12
HK-92,團GLS246,2,2019/1/1 15:03:05,2
HK-92,落PA6536,2,2019/1/1 15:03:03,7
HK-92,落P80705,2,2019/1/1 15:03:21,9
HK-93,落PSL908,2,2019/1/1 15:03:35,10
HK-93,落PG228A,2,2019/1/1 15:03:35,12
HK-107,落P80523,2,2019/1/1 15:03:46,3
HK-93,釦A25L6H,2,2019/1/1 15:04:04,3
HK-93,落P10569,2,2019/1/1 15:04:09,9
HK-92,落P80458,2,2019/1/1 15:04:24,3
HK-92,落P99327,2,2019/1/1 15:04:18,7
HK-107,落P99584,2,2019/1/1 15:04:30,1
HK-92,落PL1980,2,2019/1/1 15:04:39,2
HK-92,落PV9719,2,2019/1/1 15:04:38,10
HK-92,落PP6998,2,2019/1/1 15:02:40,6
HK-93,落B80450,2,2019/1/1 15:02:43,6
HK-107,落PW9669,2,2019/1/1 15:03:00,3
HK-107,落P62516,2,2019/1/1 15:03:16,4
HK-107,概兎,2,2019/1/1 15:04:04,4
HK-92,落PWJ927,2,2019/1/1 15:04:10,3
HK-93,落P01205,2,2019/1/1 15:04:08,3
HK-107,落PR2822,2,2019/1/1 15:04:43,2
HK-107,落PCJ286,2,2019/1/1 15:04:42,1
HK-107,概兎,2,2019/1/1 15:04:41,4
HK-107,落BSZ808,2,2019/1/1 15:02:47,1
HK-92,落PW9165,2,2019/1/1 15:03:10,9
HK-93,落P5F527,2,2019/1/1 15:03:07,4
HK-93,落P80346,2,2019/1/1 15:03:09,12
HK-107,落PT0799,2,2019/1/1 15:03:06,1
HK-107,落BYG992,2,2019/1/1 15:03:09,3
HK-92,落P79933,2,2019/1/1 15:03:36,9
HK-92,落P5G180,2,2019/1/1 15:03:32,9
HK-93,落PL1980,2,2019/1/1 15:03:26,4
HK-93,落PR6500,2,2019/1/1 15:03:41,10
HK-93,落PY7598,2,2019/1/1 15:03:39,10
HK-93,落PN9797,2,2019/1/1 15:03:37,10
HK-92,落PU6867,2,2019/1/1 15:03:55,6
HK-107,落PRY629,2,2019/1/1 15:03:51,4
HK-92,落PG009G,2,2019/1/1 15:04:16,3
HK-92,落PV0255,2,2019/1/1 15:04:07,10
HK-93,落PP7317,2,2019/1/1 15:04:08,8
HK-92,落P52795,2,2019/1/1 15:04:37,7
HK-93,落PD6126,2,2019/1/1 15:04:35,1
HK-93,落B9Z090,2,2019/1/1 15:04:31,7
HK-93,落PZ3189,2,2019/1/1 15:04:23,12
HK-107,落P80865,2,2019/1/1 15:04:44,1
